HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_489400	dblp:hasAuthor	author_159796	0.0381
author_581412	dblp:wrote	pub_363962	0.0414
pub_354973	dblp:hasAuthor	author_160755	0.0529
pub_148235	dblp:inYear	year_22	0.1116
pub_332962	dblp:inYear	year_22	0.1078
pub_7986	dblp:inYear	year_22	0.0591
author_350961	dblp:wrote	pub_484216	0.0409
author_195334	dblp:wrote	pub_330806	0.0471
pub_116552	dblp:inYear	year_56	0.0635
author_579798	dblp:wrote	pub_447575	0.0422
pub_313436	dblp:hasAuthor	author_328403	0.0383
pub_228770	dblp:inYear	year_33	0.0747
author_627647	dblp:wrote	pub_229777	0.0543
pub_48016	dblp:publishedIn	venue_109	0.0678
pub_383370	dblp:hasAuthor	author_408086	0.0513
pub_36195	dblp:publishedIn	venue_2825	0.0653
pub_116113	dblp:publishedIn	venue_1530	0.0692
pub_182072	dblp:publishedIn	venue_1593	0.0676
pub_381443	dblp:hasAuthor	author_540073	0.0418
pub_266419	dblp:publishedIn	venue_1714	0.0619
pub_369745	dblp:hasAuthor	author_142013	0.0495
pub_295330	dblp:publishedIn	venue_2609	0.0617
author_113658	dblp:wrote	pub_367593	0.0558
pub_14789	dblp:hasAuthor	author_41478	0.0483
author_270269	dblp:wrote	pub_69726	0.0542
pub_291653	dblp:publishedIn	venue_1370	0.0588
author_193714	dblp:wrote	pub_173142	0.0379
pub_319137	dblp:publishedIn	venue_727	0.0551
pub_430545	dblp:publishedIn	venue_1279	0.0523
pub_164706	dblp:inYear	year_37	0.0654
pub_205450	dblp:inYear	year_9	0.0616
author_377410	dblp:wrote	pub_195417	0.0423
pub_281856	dblp:inYear	year_19	0.0805
pub_312689	dblp:inYear	year_59	0.0714
author_405184	dblp:wrote	pub_464037	0.0369
pub_13268	dblp:publishedIn	venue_2802	0.0809
pub_475335	dblp:inYear	year_46	0.0845
pub_229038	dblp:inYear	year_19	0.0720
pub_349091	dblp:hasAuthor	author_90467	0.0372
pub_120830	dblp:hasAuthor	author_224602	0.0367
pub_488188	dblp:hasAuthor	author_288392	0.0404
pub_112365	dblp:publishedIn	venue_2197	0.0655
pub_90917	dblp:hasAuthor	author_239624	0.0395
pub_258588	dblp:hasAuthor	author_196603	0.0410
pub_12345	dblp:publishedIn	venue_2845	0.0558
author_292515	dblp:wrote	pub_314697	0.0429
pub_368512	dblp:publishedIn	venue_57	0.0845
pub_371886	dblp:publishedIn	venue_1445	0.0569
pub_181043	dblp:hasAuthor	author_198557	0.0586
pub_371380	dblp:hasAuthor	author_123715	0.0390
author_309298	dblp:wrote	pub_269203	0.0393
pub_29449	dblp:publishedIn	venue_1245	0.0838
pub_96127	dblp:hasAuthor	author_427486	0.0805
author_33363	dblp:wrote	pub_278474	0.0501
pub_326937	dblp:inYear	year_9	0.0897
pub_72022	dblp:hasAuthor	author_131227	0.0419
pub_256265	dblp:hasAuthor	author_225152	0.0370
pub_222466	dblp:inYear	year_34	0.0690
author_227248	dblp:wrote	pub_300949	0.0430
author_394408	dblp:wrote	pub_325935	0.0438
pub_275518	dblp:inYear	year_31	0.0776
author_486063	dblp:wrote	pub_416889	0.0476
pub_8562	dblp:publishedIn	venue_1551	0.0672
pub_335293	dblp:inYear	year_31	0.0654
pub_314364	dblp:hasAuthor	author_95568	0.0376
pub_346877	dblp:publishedIn	venue_2500	0.0857
pub_300096	dblp:inYear	year_59	0.0755
author_116794	dblp:wrote	pub_167100	0.0351
author_318143	dblp:wrote	pub_143147	0.0480
